platform,platform_folder,source_raw_id,raw_filename,declared_query_id,resolved_query_id,query_label_status,declared_question_similarity,resolved_question_similarity,runner_up_similarity,round,filename_date,archive_entry_time,exif_datetime,width,height,image_format,image_bytes,ocr_character_count,answer_present_estimate,target_mention_candidate,competitor_c001_candidate,competitor_c002_candidate,evidence_path,ocr_path
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_B01_R0_20260825.jpeg,B01,B01,matched,0.962,0.962,0.526,0,20260825,2026-08-25 20:55:30,,720,1303,JPEG,254091,210,1,1,0,0,raw-images/doubao/BHYY-GEO-DX-001_doubao_B01_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_B01_R0_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_B02_R0_20260825.jpeg,B02,B02,matched,1.000,1.000,0.500,0,20260825,2026-08-25 20:55:56,,720,1985,JPEG,352742,322,1,1,0,0,raw-images/doubao/BHYY-GEO-DX-001_doubao_B02_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_B02_R0_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_B03_R0_20260825.jpeg,B03,B03,matched,1.000,1.000,0.579,0,20260825,2026-08-25 20:56:22,,720,2256,JPEG,395993,353,1,1,0,0,raw-images/doubao/BHYY-GEO-DX-001_doubao_B03_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_B03_R0_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_B04_R0_20260825.jpeg,B04,B04,matched,1.000,1.000,0.545,0,20260825,2026-08-25 20:56:52,,720,4610,JPEG,913566,859,1,1,0,0,raw-images/doubao/BHYY-GEO-DX-001_doubao_B04_R0_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_B04_R0_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q01_R1_20260824.jpeg,Q01,Q01,matched,0.961,0.961,0.618,1,20260824,2026-08-25 20:21:58,,720,4187,JPEG,772483,662,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q01_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q01_R1_20260824.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q01_R2_20260825.jpeg,Q01,Q01,matched,0.961,0.961,0.618,2,20260825,2026-08-25 23:38:58,,720,4107,JPEG,796336,688,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q01_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q01_R2_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q01_R3_20260825.jpeg,Q01,Q01,matched,0.961,0.961,0.618,3,20260825,2026-08-26 01:27:30,,720,3804,JPEG,744220,641,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q01_R3_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q01_R3_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q01_R4_20260825.jpeg,Q01,Q01,matched,0.961,0.961,0.618,4,20260825,2026-08-26 10:45:40,,720,4495,JPEG,948336,837,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q01_R4_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q01_R4_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q01_R5_20260825.jpeg,Q01,Q01,matched,0.961,0.961,0.618,5,20260825,2026-08-26 13:10:24,,720,4240,JPEG,855604,736,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q01_R5_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q01_R5_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q02_R1_20260824.jpeg,Q02,Q02,matched,0.982,0.982,0.660,1,20260824,2026-08-25 20:22:40,,720,5747,JPEG,1156811,1062,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q02_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q02_R1_20260824.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q02_R2_20260825.jpeg,Q02,Q02,matched,0.982,0.982,0.660,2,20260825,2026-08-25 23:39:40,,720,5764,JPEG,1195744,1094,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q02_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q02_R2_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q02_R3_20260825.jpeg,Q02,Q02,matched,0.982,0.982,0.660,3,20260825,2026-08-26 01:28:10,,720,6221,JPEG,1228142,1101,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q02_R3_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q02_R3_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q02_R4_20260825.jpeg,Q02,Q02,matched,0.982,0.982,0.660,4,20260825,2026-08-26 10:46:14,,720,6221,JPEG,1353578,1207,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q02_R4_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q02_R4_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q02_R5_20260825.jpeg,Q02,Q02,matched,0.982,0.982,0.660,5,20260825,2026-08-26 13:10:56,,720,6221,JPEG,1272591,1118,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q02_R5_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q02_R5_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q03_R1_20260824.jpeg,Q03,Q03,matched,0.980,0.980,0.767,1,20260824,2026-08-25 20:23:24,,720,5013,JPEG,977475,878,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q03_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q03_R1_20260824.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q03_R2_20260825.jpeg,Q03,Q03,matched,0.980,0.980,0.767,2,20260825,2026-08-25 23:40:26,,720,4392,JPEG,859661,760,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q03_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q03_R2_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q03_R3_20260825.jpeg,Q03,Q03,matched,0.980,0.980,0.767,3,20260825,2026-08-26 01:28:40,,720,4553,JPEG,856147,768,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q03_R3_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q03_R3_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q03_R4_20260825.jpeg,Q03,Q03,matched,0.980,0.980,0.767,4,20260825,2026-08-26 10:46:50,,720,5716,JPEG,1163844,931,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q03_R4_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q03_R4_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q03_R5_20260825.jpeg,Q03,Q03,matched,0.980,0.980,0.767,5,20260825,2026-08-26 13:11:56,,720,5698,JPEG,1193488,1057,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q03_R5_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q03_R5_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q04_R1_20260824.jpeg,Q04,Q04,matched,1.000,1.000,0.674,1,20260824,2026-08-25 20:23:54,,720,3632,JPEG,748320,654,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q04_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q04_R1_20260824.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q04_R2_20260825.jpeg,Q04,Q04,matched,1.000,1.000,0.674,2,20260825,2026-08-26 01:32:36,,720,3384,JPEG,706619,624,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q04_R2_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q04_R2_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q04_R3_20260825.jpeg,Q04,Q04,matched,1.000,1.000,0.674,3,20260825,2026-08-26 01:29:08,,720,3620,JPEG,725318,641,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q04_R3_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q04_R3_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q04_R4_20260825.jpeg,Q04,Q04,matched,1.000,1.000,0.674,4,20260825,2026-08-26 10:47:14,,720,4833,JPEG,1004380,888,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q04_R4_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q04_R4_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q04_R5_20260825.jpeg,Q04,Q04,matched,1.000,1.000,0.674,5,20260825,2026-08-26 13:13:26,,720,4506,JPEG,919497,811,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q04_R5_20260825.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q04_R5_20260825.txt
app_doubao,doubao,R0026,BHYY-GEO-DX-001_doubao_Q05_R1_20260824.jpeg,Q05,Q05,matched,1.000,1.000,0.702,1,20260824,2026-08-25 20:24:28,,720,4182,JPEG,792723,703,1,0,1,1,raw-images/doubao/BHYY-GEO-DX-001_doubao_Q05_R1_20260824.jpeg,derived-ocr/doubao/BHYY-GEO-DX-001_doubao_Q05_R1_20260824.txt
